"","zip","type","city","county","area"
"554","74446","P.O. Box","Okay","Wagoner","918"
"555","74447","Standard","Okmulgee","Okmulgee","918"
"556","74450","Standard","Oktaha","Muskogee","918"
"557","74451","Standard","Park Hill","Cherokee","918"
"558","74452","Standard","Peggs","Cherokee","918"
"559","74454","Standard","Porter","Wagoner","918"
"560","74455","Standard","Porum","Muskogee","918"
"561","74456","P.O. Box","Preston","Okmulgee","918"
"562","74457","Standard","Proctor","Adair","918"
"563","74458","P.O. Box","Redbird","Wagoner","918"
"564","74459","P.O. Box","Rentiesville","Mcintosh","918"
"565","74460","P.O. Box","Schulter","Okmulgee","918"
"566","74461","Standard","Stidham","Mcintosh","918"
"567","74462","Standard","Stigler","Haskell","918"
"568","74463","P.O. Box","Taft","Muskogee","918"
"569","74464","Standard","Tahlequah","Cherokee","918"
"570","74465","P.O. Box","Tahlequah","Cherokee","918"
"571","74467","Standard","Wagoner","Wagoner","918"
"572","74468","P.O. Box","Wainwright","Muskogee","918"
"573","74469","Standard","Warner","Muskogee","918"
"574","74470","Standard","Webbers Falls","Muskogee","918"
"575","74471","Standard","Welling","Cherokee","918"
"576","74472","Standard","Whitefield","Haskell","918"
"577","74477","P.O. Box","Wagoner","Wagoner","918"
"578","74501","Standard","Mcalester","Pittsburg","918"
"579","74502","P.O. Box","Mcalester","Pittsburg","918"
"580","74521","P.O. Box","Albion","Pushmataha","918"
"581","74522","P.O. Box","Alderson","Pittsburg","918"
"582","74523","Standard","Antlers","Pushmataha","580"
"583","74525","Standard","Atoka","Atoka","580"
"584","74528","Standard","Blanco","Pittsburg","918"
"585","74529","Standard","Blocker","Pittsburg","918"
"586","74530","P.O. Box","Bromide","Johnston","580"
"587","74531","Standard","Calvin","Hughes","405ÿ/ÿ580"
"588","74533","Standard","Caney","Atoka","580"
"589","74534","Standard","Centrahoma","Coal","580"
"590","74535","P.O. Box","Clarita","Coal","580"
"591","74536","Standard","Clayton","Pushmataha","918"
"592","74538","Standard","Coalgate","Coal","580"
"593","74543","Standard","Finley","Pushmataha","580"
"594","74545","P.O. Box","Gowen","Latimer","918"
"595","74546","P.O. Box","Haileyville","Pittsburg","918"
"596","74547","Standard","Hartshorne","Pittsburg","918"
"597","74549","Standard","Honobia","Le Flore","580ÿ/ÿ918"
"598","74552","Standard","Kinta","Haskell","918"
"599","74553","Standard","Kiowa","Pittsburg","918"
"600","74554","P.O. Box","Krebs","Pittsburg","918"
"601","74555","Standard","Lane","Atoka","580"
"602","74556","P.O. Box","Lehigh","Coal","580"
"603","74557","Standard","Moyers","Pushmataha","580"
"604","74558","Standard","Nashoba","Pushmataha","918"
"605","74559","P.O. Box","Panola","Latimer","918"
"606","74560","Standard","Pittsburg","Pittsburg","918"
"607","74561","Standard","Quinton","Pittsburg","918"
"608","74562","Standard","Rattan","Pushmataha","580"
"609","74563","Standard","Red Oak","Latimer","918"
"610","74565","P.O. Box","Savanna","Pittsburg","918"
"611","74567","Standard","Snow","Pushmataha","918"
"612","74569","Standard","Stringtown","Atoka","580"
"613","74570","Standard","Stuart","Hughes","918ÿ/ÿ405ÿ/ÿ580"
"614","74571","Standard","Talihina","Latimer","918"
"615","74572","Standard","Tupelo","Coal","580"
"616","74574","Standard","Tuskahoma","Pushmataha","918"
"617","74576","Standard","Wardville","Pittsburg","918"
"618","74577","Standard","Whitesboro","Le Flore","580ÿ/ÿ918"
"619","74578","Standard","Wilburton","Latimer","918"
"620","74601","Standard","Ponca City","Kay","580"
"621","74602","P.O. Box","Ponca City","Kay","580"
"622","74604","Standard","Ponca City","Kay","580"
"623","74630","Standard","Billings","Noble","580"
"624","74631","Standard","Blackwell","Kay","580"
"625","74632","Standard","Braman","Kay","580"
"626","74633","Standard","Burbank","Osage","918ÿ/ÿ580"
"627","74636","Standard","Deer Creek","Grant","580"
"628","74637","Standard","Fairfax","Osage","918"
"629","74640","Standard","Hunter","Garfield","580"
"630","74641","Standard","Kaw City","Kay","580ÿ/ÿ918"
"631","74643","Standard","Lamont","Grant","580"
"632","74644","Standard","Marland","Noble","580"
"633","74646","Standard","Nardin","Kay","580"
"634","74647","Standard","Newkirk","Kay","580"
"635","74650","Standard","Ralston","Pawnee","918"
"636","74651","Standard","Red Rock","Noble","580"
"637","74652","Standard","Shidler","Osage","918"
"638","74653","Standard","Tonkawa","Kay","580"
"639","74701","Standard","Durant","Bryan","580"
"640","74702","P.O. Box","Durant","Bryan","580"
"641","74720","P.O. Box","Achille","Bryan","580"
"642","74721","P.O. Box","Albany","Bryan","580"
"643","74722","P.O. Box","Battiest","Mccurtain","580"
"644","74723","Standard","Bennington","Bryan","580"
"645","74724","Standard","Bethel","Mccurtain","580"
"646","74726","Standard","Bokchito","Bryan","580"
"647","74727","Standard","Boswell","Choctaw","580"
"648","74728","Standard","Broken Bow","Mccurtain","580"
"649","74729","Standard","Caddo","Bryan","580"
"650","74730","Standard","Calera","Bryan","580"
"651","74731","Standard","Cartwright","Bryan","580"
"652","74733","Standard","Colbert","Bryan","580"
"653","74734","Standard","Eagletown","Mccurtain","580"
"654","74735","Standard","Fort Towson","Choctaw","580"
"655","74736","Standard","Garvin","Mccurtain","580"
"656","74737","P.O. Box","Golden","Mccurtain","580"
"657","74738","Standard","Grant","Choctaw","580"
"658","74740","Standard","Haworth","Mccurtain","580"
"659","74741","Standard","Hendrix","Bryan","580"
"660","74743","Standard","Hugo","Choctaw","580"
"661","74745","Standard","Idabel","Mccurtain","580"
"662","74747","P.O. Box","Kemp","Bryan","580"
"663","74748","Standard","Kenefic","Johnston","580"
"664","74750","P.O. Box","Millerton","Mccurtain","580"
"665","74752","P.O. Box","Pickens","Mccurtain","580"
"666","74753","P.O. Box","Platter","Bryan","580"
"667","74755","Standard","Rufe","Mccurtain","580"
"668","74756","Standard","Sawyer","Choctaw","580"
"669","74759","Standard","Soper","Choctaw","580"
"670","74760","Standard","Spencerville","Choctaw","580"
"671","74761","P.O. Box","Swink","Choctaw","580"
"672","74764","Standard","Valliant","Mccurtain","580"
"673","74766","Standard","Wright City","Mccurtain","580"
"674","74801","Standard","Shawnee","Pottawatomie","405"
"675","74802","P.O. Box","Shawnee","Pottawatomie","405"
"676","74804","Standard","Shawnee","Pottawatomie","405"
"677","74818","P.O. Box","Seminole","Seminole","405"
"678","74820","Standard","Ada","Pontotoc","580"
"679","74821","P.O. Box","Ada","Pontotoc","580"
"680","74824","Standard","Agra","Lincoln","918"
"681","74825","Standard","Allen","Pontotoc","580"
"682","74826","Standard","Asher","Pottawatomie","405"
"683","74827","Standard","Atwood","Hughes","580ÿ/ÿ405"
"684","74829","Standard","Boley","Okfuskee","405ÿ/ÿ918"
"685","74830","P.O. Box","Bowlegs","Seminole","405"
"686","74831","Standard","Byars","Mcclain","405"
"687","74832","Standard","Carney","Lincoln","405"
"688","74833","Standard","Castle","Okfuskee","405ÿ/ÿ918"
"689","74834","Standard","Chandler","Lincoln","405ÿ/ÿ918"
"690","74836","P.O. Box","Connerville","Johnston","580"
"691","74837","P.O. Box","Cromwell","Seminole","405"
"692","74839","Standard","Dustin","Hughes","405"
"693","74840","Standard","Earlsboro","Pottawatomie","405"
"694","74842","P.O. Box","Fittstown","Pontotoc","580"
"695","74843","Standard","Fitzhugh","Pontotoc","580"
"696","74844","P.O. Box","Francis","Pontotoc","580"
"697","74845","Standard","Hanna","Mcintosh","918"
"698","74848","Standard","Holdenville","Hughes","405"
"699","74849","Standard","Konawa","Seminole","580ÿ/ÿ405"
"700","74850","Standard","Lamar","Hughes","918"
"701","74851","Standard","Mcloud","Pottawatomie","405"
"702","74852","Standard","Macomb","Pottawatomie","405"
"703","74854","Standard","Maud","Pottawatomie","405"
"704","74855","Standard","Meeker","Lincoln","405ÿ/ÿ918"
"705","74856","Standard","Mill Creek","Johnston","580"
"706","74857","Standard","Newalla","Cleveland","405"
"707","74859","Standard","Okemah","Okfuskee","405ÿ/ÿ918"
"708","74860","Standard","Paden","Okfuskee","405"
"709","74864","Standard","Prague","Lincoln","405ÿ/ÿ918"
"710","74865","Standard","Roff","Pontotoc","580"
"711","74866","P.O. Box","Saint Louis","Pottawatomie","405"
"712","74867","Standard","Sasakwa","Seminole","405ÿ/ÿ580"
"713","74868","Standard","Seminole","Seminole","405"
"714","74869","Standard","Sparks","Lincoln","405ÿ/ÿ918"
"715","74871","Standard","Stonewall","Pontotoc","580"
"716","74872","Standard","Stratford","Garvin","580"
"717","74873","Standard","Tecumseh","Pottawatomie","405"
"718","74875","Standard","Tryon","Lincoln","918"
"719","74878","Standard","Wanette","Pottawatomie","405"
"720","74880","Standard","Weleetka","Okfuskee","405ÿ/ÿ918"
"721","74881","Standard","Wellston","Lincoln","405"
"722","74883","Standard","Wetumka","Hughes","405"
"723","74884","Standard","Wewoka","Seminole","405"
"724","74901","Standard","Arkoma","Le Flore","918"
"725","74902","Standard","Pocola","Le Flore","918"
"726","74930","Standard","Bokoshe","Le Flore","918"
"727","74931","Standard","Bunch","Adair","918"
"728","74932","Standard","Cameron","Le Flore","918"
"729","74935","P.O. Box","Fanshawe","Le Flore","918"
"730","74936","Standard","Gans","Sequoyah","918"
"731","74937","Standard","Heavener","Le Flore","918"
"732","74939","Standard","Hodgen","Le Flore","918"
"733","74940","Standard","Howe","Le Flore","918"
"734","74941","Standard","Keota","Haskell","918"
"735","74942","P.O. Box","Leflore","Le Flore","918"
"736","74943","P.O. Box","Lequire","Haskell","918"
"737","74944","Standard","Mccurtain","Haskell","918"
"738","74945","P.O. Box","Marble City","Sequoyah","918"
"739","74946","P.O. Box","Moffett","Sequoyah","918"
"740","74947","P.O. Box","Monroe","Le Flore","918"
"741","74949","Standard","Muse","Le Flore","918ÿ/ÿ580"
"742","74951","P.O. Box","Panama","Le Flore","918"
"743","74953","Standard","Poteau","Le Flore","918"
"744","74954","Standard","Roland","Sequoyah","918"
"745","74955","Standard","Sallisaw","Sequoyah","918"
"746","74956","Standard","Shady Point","Le Flore","918"
"747","74957","Standard","Smithville","Mccurtain","580ÿ/ÿ918"
"748","74959","Standard","Spiro","Le Flore","918"
"749","74960","Standard","Stilwell","Adair","918"
"750","74962","Standard","Vian","Sequoyah","918"
"751","74963","Standard","Watson","Mccurtain","580"
"752","74964","Standard","Watts","Adair","918"
"753","74965","Standard","Westville","Adair","918"
"754","74966","Standard","Wister","Le Flore","918"
