"","zip","type","city","county","area"
"125","73139","Standard","Oklahoma City","Oklahoma","405"
"126","73140","P.O. Box","Oklahoma City","Oklahoma","405"
"127","73141","Standard","Oklahoma City","Oklahoma","405"
"128","73142","Standard","Oklahoma City","Oklahoma","405"
"129","73143","P.O. Box","Oklahoma City","Oklahoma","405"
"130","73144","P.O. Box","Oklahoma City","Oklahoma","405"
"131","73145","Standard","Oklahoma City","Oklahoma","405"
"132","73145","Standard","Tinker AFB","Oklahoma","405"
"133","73146","P.O. Box","Oklahoma City","Oklahoma","405"
"134","73147","P.O. Box","Oklahoma City","Oklahoma","405"
"135","73148","P.O. Box","Oklahoma City","Oklahoma","405"
"136","73149","Standard","Oklahoma City","Oklahoma","405"
"137","73150","Standard","Oklahoma City","Oklahoma","405"
"138","73151","Standard","Oklahoma City","Oklahoma","405"
"139","73152","P.O. Box","Oklahoma City","Oklahoma","405"
"140","73153","P.O. Box","Oklahoma City","Cleveland","405"
"141","73154","P.O. Box","Oklahoma City","Oklahoma","405"
"142","73155","P.O. Box","Oklahoma City","Oklahoma","405"
"143","73156","P.O. Box","Oklahoma City","Oklahoma","405"
"144","73157","P.O. Box","Oklahoma City","Oklahoma","405"
"145","73159","Standard","Oklahoma City","Oklahoma","405"
"146","73160","Standard","Oklahoma City","Cleveland","405"
"147","73162","Standard","Oklahoma City","Oklahoma","405"
"148","73163","Standard","Oklahoma City","Oklahoma","405"
"149","73165","Standard","Oklahoma City","Cleveland","405"
"150","73167","Standard","Oklahoma City","Oklahoma","405"
"151","73169","Standard","Oklahoma City","Oklahoma","405"
"152","73170","Standard","Oklahoma City","Cleveland","405"
"153","73172","P.O. Box","Oklahoma City","Oklahoma","405"
"154","73173","Standard","Oklahoma City","Oklahoma","405"
"155","73178","P.O. Box","Oklahoma City","Oklahoma","405"
"156","73179","Standard","Oklahoma City","Oklahoma","405"
"157","73184","Unique","Oklahoma City","Oklahoma","405"
"158","73189","P.O. Box","Oklahoma City","Cleveland","405"
"159","73190","Unique","Oklahoma City","Oklahoma","405"
"160","73194","Unique","Oklahoma City","Oklahoma","405"
"161","73195","Standard","Oklahoma City","Oklahoma","405"
"162","73196","Unique","Oklahoma City","Oklahoma","405"
"163","73401","Standard","Ardmore","Carter","580"
"164","73402","P.O. Box","Ardmore","Carter","580"
"165","73403","P.O. Box","Ardmore","Carter","580"
"166","73425","P.O. Box","Countyline","Stephens","580"
"167","73430","Standard","Burneyville","Love","580"
"168","73432","Standard","Coleman","Johnston","580"
"169","73433","Standard","Elmore City","Garvin","580"
"170","73434","Standard","Foster","Stephens","580"
"171","73435","P.O. Box","Fox","Carter","580"
"172","73436","P.O. Box","Gene Autry","Carter","580"
"173","73437","Standard","Graham","Carter","580"
"174","73438","Standard","Healdton","Carter","580"
"175","73439","Standard","Kingston","Marshall","580"
"176","73440","Standard","Lebanon","Marshall","580"
"177","73441","Standard","Leon","Love","580"
"178","73442","Standard","Loco","Stephens","580"
"179","73443","Standard","Lone Grove","Carter","580"
"180","73444","Standard","Hennepin","Carter","580"
"181","73446","Standard","Madill","Marshall","580"
"182","73447","Standard","Mannsville","Johnston","580"
"183","73448","Standard","Marietta","Love","580"
"184","73449","Standard","Mead","Bryan","580"
"185","73450","Standard","Milburn","Johnston","580"
"186","73453","Standard","Overbrook","Love","580"
"187","73455","P.O. Box","Ravia","Johnston","580"
"188","73456","Standard","Ringling","Jefferson","580"
"189","73458","Standard","Springer","Carter","580"
"190","73459","Standard","Thackerville","Love","580"
"191","73460","Standard","Tishomingo","Johnston","580"
"192","73461","Standard","Wapanucka","Johnston","580"
"193","73463","Standard","Wilson","Carter","580"
"194","73481","Standard","Ratliff City","Carter","580"
"195","73487","P.O. Box","Tatums","Carter","580"
"196","73488","Standard","Tussy","Carter","580"
"197","73491","P.O. Box","Velma","Stephens","580"
"198","73501","Standard","Lawton","Comanche","580"
"199","73502","P.O. Box","Lawton","Comanche","580"
"200","73503","Standard","Fort Sill","Comanche","580"
"201","73505","Standard","Lawton","Comanche","580"
"202","73506","P.O. Box","Lawton","Comanche","580"
"203","73507","Standard","Lawton","Comanche","580"
"204","73520","P.O. Box","Addington","Jefferson","580"
"205","73521","Standard","Altus","Jackson","580"
"206","73522","P.O. Box","Altus","Jackson","580"
"207","73523","Standard","Altus AFB","Jackson","580"
"208","73526","Standard","Blair","Jackson","580"
"209","73527","Standard","Cache","Comanche","580"
"210","73528","Standard","Chattanooga","Comanche","580"
"211","73529","Standard","Comanche","Stephens","580"
"212","73530","Standard","Davidson","Tillman","580"
"213","73531","Standard","Devol","Cotton","580"
"214","73532","Standard","Duke","Jackson","580"
"215","73533","Standard","Duncan","Stephens","580"
"216","73534","P.O. Box","Duncan","Stephens","580"
"217","73536","Unique","Duncan","Stephens","580"
"218","73537","Standard","Eldorado","Jackson","580"
"219","73538","Standard","Elgin","Comanche","580"
"220","73539","Standard","Elmer","Jackson","580"
"221","73540","Standard","Faxon","Comanche","580"
"222","73541","Standard","Fletcher","Comanche","580"
"223","73543","Standard","Geronimo","Comanche","580"
"224","73544","Standard","Gould","Harmon","580"
"225","73546","Standard","Grandfield","Tillman","580"
"226","73547","Standard","Granite","Greer","580"
"227","73548","Standard","Hastings","Jefferson","580"
"228","73549","Standard","Headrick","Jackson","580"
"229","73550","Standard","Hollis","Harmon","580"
"230","73551","Standard","Hollister","Tillman","580"
"231","73552","Standard","Indiahoma","Comanche","580"
"232","73553","Standard","Loveland","Tillman","580"
"233","73554","Standard","Mangum","Greer","580"
"234","73555","P.O. Box","Manitou","Tillman","580"
"235","73556","P.O. Box","Martha","Jackson","580"
"236","73557","P.O. Box","Medicine Park","Comanche","580"
"237","73558","P.O. Box","Meers","Comanche","580"
"238","73559","Standard","Mountain Park","Kiowa","580"
"239","73560","Standard","Olustee","Jackson","580"
"240","73561","Standard","Oscar","Jefferson","580"
"241","73562","Standard","Randlett","Cotton","580"
"242","73564","Standard","Roosevelt","Kiowa","580"
"243","73565","Standard","Ryan","Jefferson","580"
"244","73566","Standard","Snyder","Kiowa","580"
"245","73567","P.O. Box","Sterling","Comanche","580"
"246","73568","Standard","Temple","Cotton","580"
"247","73569","Standard","Terral","Jefferson","580"
"248","73570","Standard","Tipton","Tillman","580"
"249","73571","Standard","Vinson","Harmon","580"
"250","73572","Standard","Walters","Cotton","580"
"251","73573","Standard","Waurika","Jefferson","580"
"252","73601","Standard","Clinton","Custer","580"
"253","73620","Standard","Arapaho","Custer","580"
"254","73622","Standard","Bessie","Washita","580"
"255","73624","P.O. Box","Burns Flat","Washita","580"
"256","73625","Standard","Butler","Custer","580"
"257","73626","Standard","Canute","Washita","580"
"258","73627","Standard","Carter","Beckham","580"
"259","73628","Standard","Cheyenne","Roger Mills","580"
"260","73632","Standard","Cordell","Washita","580"
"261","73638","Standard","Crawford","Roger Mills","580"
"262","73639","Standard","Custer City","Custer","580"
"263","73641","Standard","Dill City","Washita","580"
"264","73642","Standard","Durham","Roger Mills","580"
"265","73644","Standard","Elk City","Beckham","580"
"266","73645","Standard","Erick","Beckham","580"
"267","73646","Standard","Fay","Dewey","580"
"268","73647","Standard","Foss","Washita","580"
"269","73648","P.O. Box","Elk City","Beckham","580"
"270","73650","Standard","Hammon","Roger Mills","580"
"271","73651","Standard","Hobart","Kiowa","580"
"272","73654","Standard","Leedey","Dewey","580"
"273","73655","Standard","Lone Wolf","Kiowa","580"
"274","73658","Standard","Oakwood","Dewey","580"
"275","73659","Standard","Putnam","Dewey","580"
"276","73660","Standard","Reydon","Roger Mills","580"
"277","73661","Standard","Rocky","Washita","580"
"278","73662","Standard","Sayre","Beckham","580"
"279","73663","Standard","Seiling","Dewey","580"
"280","73664","Standard","Sentinel","Washita","580"
"281","73666","Standard","Sweetwater","Roger Mills","580"
"282","73667","Standard","Taloga","Dewey","580"
"283","73668","Standard","Texola","Beckham","580"
"284","73669","Standard","Thomas","Custer","580"
"285","73673","Standard","Willow","Greer","580"
"286","73701","Standard","Enid","Garfield","580"
"287","73702","P.O. Box","Enid","Garfield","580"
"288","73703","Standard","Enid","Garfield","580"
"289","73705","Standard","Enid","Garfield","580"
"290","73706","P.O. Box","Enid","Garfield","580"
"291","73716","Standard","Aline","Alfalfa","580"
"292","73717","Standard","Alva","Woods","580"
"293","73718","Standard","Ames","Major","580"
"294","73719","Standard","Amorita","Alfalfa","580"
"295","73720","Standard","Bison","Garfield","580"
"296","73722","Standard","Burlington","Alfalfa","580"
"297","73726","Standard","Carmen","Alfalfa","580"
"298","73727","Standard","Carrier","Garfield","580"
"299","73728","Standard","Cherokee","Alfalfa","580"
"300","73729","Standard","Cleo Springs","Major","580"
"301","73730","Standard","Covington","Garfield","580"
"302","73731","Standard","Dacoma","Woods","580"
"303","73733","Standard","Douglas","Garfield","580"
"304","73734","Standard","Dover","Kingfisher","405"
"305","73735","Standard","Drummond","Garfield","580"
"306","73736","Standard","Fairmont","Garfield","580"
"307","73737","Standard","Fairview","Major","580"
"308","73738","Standard","Garber","Garfield","580"
"309","73739","Standard","Goltry","Alfalfa","580"
"310","73741","Standard","Helena","Alfalfa","580"
"311","73742","Standard","Hennessey","Kingfisher","405"
"312","73743","P.O. Box","Hillsdale","Garfield","580"
"313","73744","Standard","Hitchcock","Blaine","580"
"314","73746","P.O. Box","Hopeton","Woods","580"
"315","73747","Standard","Isabella","Major","580"
"316","73749","Standard","Jet","Alfalfa","580"
"317","73750","Standard","Kingfisher","Kingfisher","405"
"318","73753","Standard","Kremlin","Garfield","580"
"319","73754","Standard","Lahoma","Garfield","580"
"320","73755","Standard","Longdale","Blaine","580"
"321","73756","Standard","Loyal","Kingfisher","405"
"322","73757","Standard","Lucien","Noble","580"
"323","73758","Standard","Manchester","Grant","580"
"324","73759","Standard","Medford","Grant","580"
"325","73760","Standard","Meno","Major","580"
"326","73761","Standard","Nash","Grant","580"
"327","73762","Standard","Okarche","Kingfisher","405"
"328","73763","Standard","Okeene","Blaine","580"
"329","73764","Standard","Omega","Kingfisher","405"
"330","73766","Standard","Pond Creek","Grant","580"
"331","73768","Standard","Ringwood","Major","580"
"332","73770","Standard","Southard","Blaine","580"
"333","73771","Standard","Wakita","Grant","580"
"334","73772","Standard","Watonga","Blaine","580"
"335","73773","Standard","Waukomis","Garfield","580"
"336","73801","Standard","Woodward","Woodward","580"
"337","73802","P.O. Box","Woodward","Woodward","580"
"338","73832","Standard","Arnett","Ellis","580"
"339","73834","Standard","Buffalo","Harper","580"
"340","73835","Standard","Camargo","Dewey","580"
"341","73838","Standard","Chester","Major","580"
"342","73840","Standard","Fargo","Ellis","580"
"343","73841","Standard","Fort Supply","Woodward","580"
"344","73842","Standard","Freedom","Woods","580"
"345","73843","Standard","Gage","Ellis","580"
"346","73844","Standard","Gate","Beaver","580"
"347","73848","Standard","Laverne","Harper","580"
"348","73851","Standard","May","Harper","580"
"349","73852","Standard","Mooreland","Woodward","580"
"350","73853","Standard","Mutual","Woodward","580"
"351","73855","Standard","Rosston","Harper","580"
"352","73857","Standard","Sharon","Woodward","580"
"353","73858","Standard","Shattuck","Ellis","580"
"354","73859","Standard","Vici","Dewey","580"
"355","73860","Standard","Waynoka","Woods","580"
"356","73901","P.O. Box","Adams","Texas","580"
"357","73931","Standard","Balko","Beaver","580"
"358","73932","Standard","Beaver","Beaver","580"
"359","73933","Standard","Boise City","Cimarron","580"
"360","73937","Standard","Felt","Cimarron","580"
"361","73938","Standard","Forgan","Beaver","580"
"362","73939","Standard","Goodwell","Texas","580"
"363","73942","Standard","Guymon","Texas","580"
"364","73944","Standard","Hardesty","Texas","580"
"365","73945","Standard","Hooker","Texas","580"
"366","73946","Standard","Kenton","Cimarron","580"
"367","73947","Standard","Keyes","Cimarron","580"
"368","73949","Standard","Texhoma","Texas","580"
"369","73950","Standard","Turpin","Beaver","580"
"370","73951","Standard","Tyrone","Texas","580"
"371","74002","Standard","Barnsdall","Osage","918"
"372","74003","Standard","Bartlesville","Washington","918"
"373","74004","Unique","Bartlesville","Washington","918"
"374","74005","P.O. Box","Bartlesville","Washington","918"
"375","74006","Standard","Bartlesville","Washington","918"
"376","74008","Standard","Bixby","Tulsa","918"
"377","74010","Standard","Bristow","Creek","918"
"378","74011","Standard","Broken Arrow","Tulsa","918"
"379","74012","Standard","Broken Arrow","Tulsa","918"
"380","74013","P.O. Box","Broken Arrow","Tulsa","918"
"381","74014","Standard","Broken Arrow","Wagoner","918"
"382","74015","Standard","Catoosa","Rogers","918"
"383","74016","Standard","Chelsea","Rogers","918"
"384","74017","Standard","Claremore","Rogers","918"
"385","74018","P.O. Box","Claremore","Rogers","918"
"386","74019","Standard","Claremore","Rogers","918"
"387","74020","Standard","Cleveland","Pawnee","918"
"388","74021","Standard","Collinsville","Tulsa","918"
"389","74022","Standard","Copan","Washington","918"
"390","74023","Standard","Cushing","Payne","918"
"391","74026","P.O. Box","Davenport","Lincoln","405ÿ/ÿ918"
"392","74027","Standard","Delaware","Nowata","918"
"393","74028","Standard","Depew","Creek","918"
"394","74029","Standard","Dewey","Washington","918"
"395","74030","Standard","Drumright","Creek","918"
"396","74031","P.O. Box","Foyil","Rogers","918"
"397","74032","Standard","Glencoe","Payne","580"
"398","74033","Standard","Glenpool","Tulsa","918"
"399","74034","P.O. Box","Hallett","Pawnee","918"
"400","74035","Standard","Hominy","Osage","918"
"401","74036","Standard","Inola","Rogers","918"
"402","74037","Standard","Jenks","Tulsa","918"
"403","74038","Standard","Jennings","Pawnee","918"
"404","74039","Standard","Kellyville","Creek","918"
"405","74041","Standard","Kiefer","Creek","918"
"406","74042","Standard","Lenapah","Nowata","918"
"407","74043","P.O. Box","Leonard","Tulsa","918"
"408","74044","Standard","Mannford","Creek","918"
"409","74045","Standard","Maramec","Pawnee","918"
"410","74046","P.O. Box","Milfay","Creek","918"
"411","74047","Standard","Mounds","Creek","918"
"412","74048","Standard","Nowata","Nowata","918"
"413","74050","P.O. Box","Oakhurst","Tulsa","918"
"414","74051","Standard","Ochelata","Washington","918"
"415","74052","P.O. Box","Oilton","Creek","918"
"416","74053","Standard","Oologah","Rogers","918"
"417","74054","Standard","Osage","Osage","918"
"418","74055","Standard","Owasso","Tulsa","918"
"419","74056","Standard","Pawhuska","Osage","918"
"420","74058","Standard","Pawnee","Pawnee","918"
"421","74059","Standard","Perkins","Payne","405ÿ/ÿ918"
"422","74060","Standard","Prue","Osage","918"
"423","74061","Standard","Ramona","Washington","918"
"424","74062","Standard","Ripley","Payne","405ÿ/ÿ918"
"425","74063","Standard","Sand Springs","Tulsa","918"
"426","74066","Standard","Sapulpa","Creek","918"
"427","74067","P.O. Box","Sapulpa","Creek","918"
"428","74068","P.O. Box","Shamrock","Creek","918"
"429","74070","Standard","Skiatook","Tulsa","918"
"430","74071","P.O. Box","Slick","Creek","918"
"431","74072","Standard","S Coffeyville","Nowata","918"
"432","74073","Standard","Sperry","Tulsa","918"
"433","74074","Standard","Stillwater","Payne","405"
"434","74075","Standard","Stillwater","Payne","405"
"435","74076","P.O. Box","Stillwater","Payne","405"
"436","74077","Unique","Stillwater","Payne","405"
"437","74078","Unique","Stillwater","Payne","405"
"438","74079","Standard","Stroud","Lincoln","918"
"439","74080","Standard","Talala","Rogers","918"
"440","74081","Standard","Terlton","Pawnee","918"
"441","74082","P.O. Box","Vera","Washington","918"
"442","74083","Standard","Wann","Nowata","918"
"443","74084","Standard","Wynona","Osage","918"
"444","74085","Standard","Yale","Payne","918"
"445","74102","P.O. Box","Tulsa","Tulsa","918ÿ/ÿ539"
"446","74103","Standard","Tulsa","Tulsa","918ÿ/ÿ539"
"447","74104","Standard","Tulsa","Tulsa","918"
"448","74105","Standard","Tulsa","Tulsa","918"
"449","74106","Standard","Tulsa","Tulsa","918"
"450","74107","Standard","Tulsa","Tulsa","918"
"451","74108","Standard","Tulsa","Tulsa","918"
"452","74110","Standard","Tulsa","Tulsa","918"
"453","74112","Standard","Tulsa","Tulsa","918"
"454","74114","Standard","Tulsa","Tulsa","918"
"455","74115","Standard","Tulsa","Tulsa","918"
"456","74116","Standard","Tulsa","Tulsa","918"
"457","74117","Standard","Tulsa","Tulsa","918"
"458","74119","Standard","Tulsa","Tulsa","918ÿ/ÿ539"
"459","74120","Standard","Tulsa","Tulsa","918ÿ/ÿ539"
"460","74121","P.O. Box","Tulsa","Tulsa","918ÿ/ÿ539"
"461","74126","Standard","Tulsa","Tulsa","918"
"462","74127","Standard","Tulsa","Tulsa","918"
"463","74128","Standard","Tulsa","Tulsa","918"
"464","74129","Standard","Tulsa","Tulsa","918"
"465","74130","Standard","Tulsa","Tulsa","918"
"466","74131","Standard","Tulsa","Creek","918"
"467","74132","Standard","Tulsa","Tulsa","918"
"468","74133","Standard","Tulsa","Tulsa","918"
"469","74134","Standard","Tulsa","Tulsa","918"
"470","74135","Standard","Tulsa","Tulsa","918"
"471","74136","Standard","Tulsa","Tulsa","918"
"472","74137","Standard","Tulsa","Tulsa","918"
"473","74141","Unique","Tulsa","Tulsa","918ÿ/ÿ539"
"474","74145","Standard","Tulsa","Tulsa","918"
"475","74146","Standard","Tulsa","Tulsa","918"
"476","74147","P.O. Box","Tulsa","Tulsa","918ÿ/ÿ539"
"477","74148","P.O. Box","Tulsa","Tulsa","918ÿ/ÿ539"
"478","74149","P.O. Box","Tulsa","Tulsa","918ÿ/ÿ539"
"479","74150","P.O. Box","Tulsa","Tulsa","918ÿ/ÿ539"
"480","74152","P.O. Box","Tulsa","Tulsa","918ÿ/ÿ539"
"481","74153","P.O. Box","Tulsa","Tulsa","918ÿ/ÿ539"
"482","74155","P.O. Box","Tulsa","Tulsa","918ÿ/ÿ539"
"483","74156","P.O. Box","Tulsa","Tulsa","918ÿ/ÿ539"
"484","74157","P.O. Box","Tulsa","Tulsa","918ÿ/ÿ539"
"485","74158","P.O. Box","Tulsa","Tulsa","918ÿ/ÿ539"
"486","74159","P.O. Box","Tulsa","Tulsa","918ÿ/ÿ539"
"487","74169","P.O. Box","Tulsa","Tulsa","918ÿ/ÿ539"
"488","74170","P.O. Box","Tulsa","Tulsa","918ÿ/ÿ539"
"489","74171","Unique","Tulsa","Tulsa","918"
"490","74172","Standard","Tulsa","Tulsa","918ÿ/ÿ539"
"491","74182","Unique","Tulsa","Tulsa","918ÿ/ÿ539"
"492","74186","Unique","Tulsa","Tulsa","918ÿ/ÿ539"
"493","74187","Unique","Tulsa","Tulsa","918ÿ/ÿ539"
"494","74192","Unique","Tulsa","Tulsa","918ÿ/ÿ539"
"495","74193","Unique","Tulsa","Tulsa","918ÿ/ÿ539"
"496","74301","Standard","Vinita","Craig","918"
"497","74330","Standard","Adair","Mayes","918"
