ZIP Code,Type,City,County,Area Codes
ZIP Code 73125,P.O. Box,Oklahoma City,Oklahoma,405
ZIP Code 73126,P.O. Box,Oklahoma City,Oklahoma,405
ZIP Code 73127,Standard,Oklahoma City,Oklahoma,405
ZIP Code 73128,Standard,Oklahoma City,Oklahoma,405
ZIP Code 73129,Standard,Oklahoma City,Oklahoma,405
ZIP Code 73130,Standard,Oklahoma City,Oklahoma,405
ZIP Code 73131,Standard,Oklahoma City,Oklahoma,405
ZIP Code 73132,Standard,Oklahoma City,Oklahoma,405
ZIP Code 73134,Standard,Oklahoma City,Oklahoma,405
ZIP Code 73135,Standard,Oklahoma City,Oklahoma,405
ZIP Code 73136,P.O. Box,Oklahoma City,Oklahoma,405
ZIP Code 73137,P.O. Box,Oklahoma City,Oklahoma,405
ZIP Code 73139,Standard,Oklahoma City,Oklahoma,405
ZIP Code 73140,P.O. Box,Oklahoma City,Oklahoma,405
ZIP Code 73141,Standard,Oklahoma City,Oklahoma,405
ZIP Code 73142,Standard,Oklahoma City,Oklahoma,405
ZIP Code 73143,P.O. Box,Oklahoma City,Oklahoma,405
ZIP Code 73144,P.O. Box,Oklahoma City,Oklahoma,405
ZIP Code 73145,Standard,Oklahoma City,Oklahoma,405
ZIP Code 73145,Standard,Tinker AFB,Oklahoma,405
ZIP Code 73146,P.O. Box,Oklahoma City,Oklahoma,405
ZIP Code 73147,P.O. Box,Oklahoma City,Oklahoma,405
ZIP Code 73148,P.O. Box,Oklahoma City,Oklahoma,405
ZIP Code 73149,Standard,Oklahoma City,Oklahoma,405
ZIP Code 73150,Standard,Oklahoma City,Oklahoma,405
ZIP Code 73151,Standard,Oklahoma City,Oklahoma,405
ZIP Code 73152,P.O. Box,Oklahoma City,Oklahoma,405
ZIP Code 73153,P.O. Box,Oklahoma City,Cleveland,405
ZIP Code 73154,P.O. Box,Oklahoma City,Oklahoma,405
ZIP Code 73155,P.O. Box,Oklahoma City,Oklahoma,405
ZIP Code 73156,P.O. Box,Oklahoma City,Oklahoma,405
ZIP Code 73157,P.O. Box,Oklahoma City,Oklahoma,405
ZIP Code 73159,Standard,Oklahoma City,Oklahoma,405
ZIP Code 73160,Standard,Oklahoma City,Cleveland,405
ZIP Code 73162,Standard,Oklahoma City,Oklahoma,405
ZIP Code 73163,Standard,Oklahoma City,Oklahoma,405
ZIP Code 73165,Standard,Oklahoma City,Cleveland,405
ZIP Code 73167,Standard,Oklahoma City,Oklahoma,405
ZIP Code 73169,Standard,Oklahoma City,Oklahoma,405
ZIP Code 73170,Standard,Oklahoma City,Cleveland,405
